5416342,-7,512,0,0,4,5,6,3,7,0,6,-3,4,-5,1,-7,-2,-7
6420047,-7,512,0,0,-5,-4,-7,-1,-7,3,-5,5,-2,6,2,7,5,6
7421419,-7,512,0,0,4,6,6,4,7,1,6,-3,4,-5,1,-7,-3,-6
8425921,-7,512,0,0,-1,8,2,8,6,6,8,3,8,-1,7,-4,4,-7
9428262,-7,512,0,0,4,6,6,2,7,0,6,-3,3,-6,1,-7,-3,-7
10433017,-7,512,0,0,-3,7,0,7,4,6,6,4,7,1,7,-3,5,-5
11428403,-7,512,0,0,3,-6,-1,-7,-4,-6,-7,-3,-7,0,-7,3,-4,6
12430995,-7,512,0,0,8,2,8,-2,6,-5,3,-7,-1,-8,-4,-7,-7,-4
13429472,-7,512,0,0,1,-7,-2,-6,-5,-5,-6,-2,-7,1,-5,4,-3,6
14432007,-7,512,0,0,-6,-2,-6,1,-5,4,-3,7,0,7,4,6,6,3
15450476,-14,512,0,0,5,4,6,2,6,-2,5,-5,2,-6,-1,-7,-4,-5
16546602,-13,512,0,0,-7,-2,-6,1,-5,5,-2,7,1,7,4,6,7,3
17463379,-28,512,0,0,3,-14,-2,-14,-7,-12,-10,-9,-13,-5,-14,0,-13,4
18436906,-45,512,0,0,-8,8,-4,11,1,12,6,10,10,6,12,2,11,-3
19445646,-45,512,0,0,9,-2,7,-6,4,-8,0,-9,-4,-8,-7,-6,-9,-2
20441001,-57,512,0,0,7,-10,2,-11,-3,-11,-7,-8,-10,-5,-11,0,-10,5
21445475,-58,512,0,0,13,-10,8,-14,2,-16,-4,-16,-9,-14,-13,-10,-16,-4
22443359,-59,512,0,0,-7,3,-5,6,-2,8,2,8,5,7,8,4,8,0
23447086,-50,512,0,0,-2,-6,-5,-5,-7,-2,-7,2,-5,5,-2,6,1,7
24447171,-56,512,0,0,6,-2,5,-5,2,-6,-1,-6,-4,-5,-6,-3,-6,1
25452054,-57,512,0,0,-1,-11,-5,-10,-9,-6,-11,-2,-11,2,-9,7,-5,10
26450163,-59,512,0,0,-12,-6,-13,-1,-12,5,-9,10,-5,13,0,14,6,12
27451243,-52,512,0,0,12,6,13,0,13,-5,9,-10,4,-13,-1,-13,-6,-11
28455369,-52,512,0,0,3,10,6,8,10,5,11,0,10,-4,8,-8,3,-10
29455276,-57,512,0,0,8,9,11,4,12,0,11,-5,8,-9,3,-11,-2,-12
30473099,-61,512,0,0,12,1,11,-5,8,-8,4,-11,0,-11,-5,-11,-9,-8
31461493,-60,512,0,0,-3,-11,-7,-9,-10,-6,-12,-2,-12,3,-10,8,-6,11
32467639,-58,512,0,0,-7,14,-1,14,5,14,10,11,13,7,15,2,14,-4
33463449,-59,512,0,0,11,10,14,4,14,0,13,-7,9,-10,6,-13,0,-13
34463244,-61,512,0,0,11,7,12,3,13,-2,10,-7,6,-11,1,-13,-4,-12
35470098,-63,512,0,0,-13,5,-11,9,-7,13,-1,14,3,13,8,11,12,7
36465909,-61,512,0,0,13,-6,10,-11,6,-13,1,-15,-4,-15,-9,-12,-12,-8
37466857,-64,512,0,0,-12,5,-10,10,-6,14,0,14,4,14,9,11,13,6
38513834,-60,512,0,0,8,-12,4,-14,-2,-15,-7,-13,-12,-10,-14,-5,-15,1
39515238,-59,512,0,0,4,-15,-1,-16,-7,-15,-12,-11,-15,-6,-17,-1,-15,5
39516497,-61,512,0,0,-14,-3,-13,2,-13,8,-8,11,-2,14,3,14,8,12
40517028,-63,512,0,0,1,-11,-4,-11,-8,-8,-11,-5,-11,0,-11,5,-8,9
41514558,-64,512,0,0,4,-17,-2,-17,-8,-14,-12,-11,-16,-6,-17,0,-16,5
42516616,-62,512,0,0,-4,12,1,12,6,12,10,9,12,4,14,-1,12,-6
43516630,-63,512,0,0,-14,-3,-13,3,-12,8,-7,12,-2,14,3,14,8,12
44522652,-62,512,0,0,-7,-12,-10,-8,-13,-3,-13,2,-12,7,-8,11,-4,13
45644394,-62,512,0,0,-12,3,-10,6,-6,10,-2,12,3,12,7,10,10,6
46548671,-62,512,0,0,-11,-5,-12,0,-11,5,-7,10,-3,12,2,12,7,10
47534111,-64,512,0,0,15,-1,13,-8,9,-13,4,-15,-3,-15,-7,-13,-11,-9
48525527,-61,512,0,0,14,2,13,-4,11,-8,7,-12,2,-14,-4,-14,-9,-11
49526136,-62,512,0,0,-7,12,-3,13,3,13,8,11,11,8,13,3,14,-2
50527886,-62,512,0,0,9,-3,8,-8,4,-10,-1,-11,-5,-10,-9,-7,-11,-3
51536658,-62,512,0,0,-14,0,-13,6,-11,11,-4,14,-1,15,6,16,8,11
52548737,-63,512,0,0,-4,13,0,13,6,12,10,9,13,4,14,-1,12,-6
53533963,-63,512,0,0,11,-9,7,-11,2,-12,-3,-13,-8,-10,-10,-7,-13,-3
54532797,-67,512,0,0,5,2,4,-3,5,-3,1,-4,0,-5,-3,-3,-3,-1
